"FacilityName";"StreeetNo";"StreetName_Suffix";"StreetDirection";"UnitNumber";"Municipality";"Telephone";"Fax";"LONGITUDE";"LATITUDE"
"Sobey's";"34";"Livingston Avenue";"";"";"Grimsby";"(905) 945-9973";"NULL";"-79.568410335628";"43.1974476433644"
"Shoppers Drug Mart";"6565";"Lundy's Lane";"";"";"Niagara Falls";"(905) 354-3845";"NULL";"-79.1043832887406";"43.0899765490008"
"Gallagher's";"346";"Highway 20";"W";"";"Pelham";"(905) 892-0698";"NULL";"-79.3157717835819";"43.0416960319349"
"Peanut Mill";"191";"Welland Avenue";"";"";"St. Catharines";"(905) 685-8848";"NULL";"-79.2395301244589";"43.1664916891491"
"Sobey's ";"609";"South Pelham Road";"";"";"Welland";"(905) 735-7467";"NULL";"-79.2870258301733";"43.0041525493836"
"Joe's ValuMart";"311";"Gorham Road";"";"";"Fort Erie";"(905) 894-5266";"(905) 894-3044";"-79.0618922834927";"42.8832540453232"
"Real Canadian Superstore";"411";"Louth Street";"";"";"St. Catharines";"(905) 984-8408";"(905) 984-8606";"-79.2664348872808";"43.1533623682859"
"FreshCo";"318";"Ontario Street";"";"";"St. Catharines";"(905) 684-8597";"NULL";"-79.263250709096";"43.1694828219883"
"Food Basics";"325";"Thorold Road";"";"";"Welland";"(905) 735-4320";"NULL";"-79.2722178161162";"43.0028799035178"
"T & K Eastern Import";"365";"Vine Street";"";"";"St. Catharines";"(905) 646-9840";"NULL";"-79.2312757424227";"43.1856700623089"
"Food Basics";"6770";"McLeod Road";"";"";"Niagara Falls";"(905) 356-1103";"(905) 356-1529";"-79.1074562450403";"43.0699065902089"
"Shoppers Drug Mart";"20";"Highway 20";"E";"";"Pelham";"905-892-5791";"905-892-1020";"-79.2828671986196";"43.0450841003105"
"Shoppers Drug Mart";"275";"Fourth Avenue";"";"";"St. Catharines";"(905) 641-2244";"(905) 641-1751";"-79.2688711934392";"43.1562195888082"
"Food Basics";"275";"Geneva Street";"";"";"St. Catharines";"(905) 937-6523";"NULL";"-79.2416244686541";"43.1763253490713"
"No Frills - Brent & Jenny's";"53";"Westside Road";"";"";"Port Colborne";"(905) 834-5577";"(905) 834-8903";"-79.2665719121626";"42.8959191362589"
"Outlet Collection at Niagara- Davids Tea";"300";"Taylor Rd.";"";"725";"Niagara-on-the-Lake";"(905) 685-1734";"NULL";"-79.1720082495293";"43.1588975873376"
"No Frills";"4961";"King Street";"";"";"Lincoln";"(905) 563-4246";"(905) 563-1932";"-79.4740494720834";"43.1655114928553"
"Costco";"3";"North Service Road";"";"";"St. Catharines";"(905) 646-2008";"NULL";"-79.2479204043636";"43.1779527366264"
"The New Food Box";"7000";"McLeod Road";"";"";"Niagara Falls";"(905) 357-6377";"NULL";"-79.1114761252244";"43.0699640174098"
